position,variable,label,primary_category,tags,missing_pct,missingness_band,model1_status,model1_available_pre_outcome,model1_leakage_risk,model1_leakage_basis,model1_reason,model2_status,model2_available_pre_outcome,model2_leakage_risk,model2_leakage_basis,model2_reason,source_url
1,year,Survey year,METADATA,METADATA;LOW_VARIANCE;EXCLUDED,0.0,NONE,EXCLUDE_METADATA,NO,NONE,Not a substantive predictor.,"Survey/economy metadata or weight, not an individual predictor.",EXCLUDE_METADATA,NO,NONE,Not a substantive predictor.,"Survey/economy metadata or weight, not an individual predictor.",https://microdata.worldbank.org/catalog/7900/variable/F1/V1?name=year
2,economy,Economy,METADATA,METADATA;LOW_VARIANCE;EXCLUDED,0.0,NONE,EXCLUDE_METADATA,NO,NONE,Not a substantive predictor.,"Survey/economy metadata or weight, not an individual predictor.",EXCLUDE_METADATA,NO,NONE,Not a substantive predictor.,"Survey/economy metadata or weight, not an individual predictor.",https://microdata.worldbank.org/catalog/7900/variable/F1/V2?name=economy
3,economycode,Economy code,METADATA,METADATA;LOW_VARIANCE;EXCLUDED,0.0,NONE,EXCLUDE_METADATA,NO,NONE,Not a substantive predictor.,"Survey/economy metadata or weight, not an individual predictor.",EXCLUDE_METADATA,NO,NONE,Not a substantive predictor.,"Survey/economy metadata or weight, not an individual predictor.",https://microdata.worldbank.org/catalog/7900/variable/F1/V3?name=economycode
4,regionwb,Regional code,METADATA,METADATA;LOW_VARIANCE;EXCLUDED,0.0,NONE,EXCLUDE_METADATA,NO,NONE,Not a substantive predictor.,"Survey/economy metadata or weight, not an individual predictor.",EXCLUDE_METADATA,NO,NONE,Not a substantive predictor.,"Survey/economy metadata or weight, not an individual predictor.",https://microdata.worldbank.org/catalog/7900/variable/F1/V4?name=regionwb
5,pop_adult,"Population 15+, 2023, WDI",METADATA,METADATA;LOW_VARIANCE;EXCLUDED,0.0,NONE,EXCLUDE_METADATA,NO,NONE,Not a substantive predictor.,"Survey/economy metadata or weight, not an individual predictor.",EXCLUDE_METADATA,NO,NONE,Not a substantive predictor.,"Survey/economy metadata or weight, not an individual predictor.",https://microdata.worldbank.org/catalog/7900/variable/F1/V5?name=pop_adult
6,wpid_random,Gallup World Poll identifier,IDENTIFIER,IDENTIFIER;EXCLUDED,0.0,NONE,EXCLUDE_IDENTIFIER,NO,NONE,Not a substantive predictor.,Unique respondent identifier with no legitimate predictive meaning.,EXCLUDE_IDENTIFIER,NO,NONE,Not a substantive predictor.,Unique respondent identifier with no legitimate predictive meaning.,https://microdata.worldbank.org/catalog/7900/variable/F1/V6?name=wpid_random
7,wgt,Weight,METADATA,METADATA;EXCLUDED,0.0,NONE,EXCLUDE_METADATA,NO,NONE,Not a substantive predictor.,"Survey/economy metadata or weight, not an individual predictor.",EXCLUDE_METADATA,NO,NONE,Not a substantive predictor.,"Survey/economy metadata or weight, not an individual predictor.",https://microdata.worldbank.org/catalog/7900/variable/F1/V7?name=wgt
8,female,Respondent is female,DEMOGRAPHIC,DEMOGRAPHIC;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,0.0,NONE,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V8?name=female
9,age,Respondent age,DEMOGRAPHIC,DEMOGRAPHIC;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,0.0,NONE,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V9?name=age
10,educ,Respondent education level,SOCIOECONOMIC,SOCIOECONOMIC;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,0.9515,LOW_UNDER_25,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V10?name=educ
11,inc_q,Within-economy household income quintile,SOCIOECONOMIC,SOCIOECONOMIC;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,0.0,NONE,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V11?name=inc_q
12,emp_in,Respondent is in workforce,SOCIOECONOMIC,SOCIOECONOMIC;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,0.0,NONE,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V12?name=emp_in
13,urbanicity,Respondent lives in rural area,DEMOGRAPHIC,DEMOGRAPHIC;LOW_VARIANCE;EXCLUDED,0.0,NONE,EXCLUDE_NO_VARIANCE,NO,LOW,Plausibly available as a profile characteristic before prediction.,Constant in the Eswatini extract and cannot support prediction.,EXCLUDE_NO_VARIANCE,NO,LOW,Plausibly available as a profile characteristic before prediction.,Constant in the Eswatini extract and cannot support prediction.,https://microdata.worldbank.org/catalog/7900/variable/F1/V13?name=urbanicity
14,account_fin,Has an account at a financial institution,TARGET,TARGET;CONSTRUCTED;POSSIBLE_LEAKAGE,0.0,NONE,TARGET,NOT_APPLICABLE,TARGET,This is the prediction target.,Prediction target; never included in its own feature matrix.,EXCLUDE_PARALLEL_OUTCOME,NO,HIGH,Parallel financial-access outcome; conceptually intertwined with the target.,Parallel financial-access outcome; conceptually intertwined with the target.,https://microdata.worldbank.org/catalog/7900/variable/F1/V14?name=account_fin
